"study";"a1";"a2";"a3";"a4";"a5";"yop";"n";"r";"domain";"criterion";"z";"zexp";"nnew";"znew";"znewexp";"vz";"newvz"
"Valentine";"Valentine";"";"";"";"";1977;36;0.03;"Military";"Grades";0.030009005;0.030009005;36;0.030009005;0.030009005;0.03030303;0.0303030303030303
"Valentine";"Valentine";"";"";"";"";1977;42;0.12;"Military";"Grades";0.120581028;0.120581028;42;0.120581028;0.120581028;0.025641026;0.0256410256410256
"Valentine";"Valentine";"";"";"";"";1977;43;-0.02;"Military";"Grades";-0.020002667;-0.020002667;43;-0.020002667;-0.020002667;0.025;0.025
"Valentine";"Valentine";"";"";"";"";1977;43;0.28;"Military";"Grades";0.287682072;0.287682072;43;0.287682072;0.287682072;0.025;0.025
"Valentine";"Valentine";"";"";"";"";1977;48;0.09;"Military";"Grades";0.090244188;0.090244188;48;0.090244188;0.090244188;0.022222222;0.0222222222222222
"Valentine";"Valentine";"";"";"";"";1977;52;0.23;"Military";"Grades";0.234189467;0.234189467;52;0.234189467;0.234189467;0.020408163;0.0204081632653061
"Valentine";"Valentine";"";"";"";"";1977;53;0.37;"Military";"Grades";0.3884231;0.3884231;53;0.3884231;0.3884231;0.02;0.02
"Valentine";"Valentine";"";"";"";"";1977;55;0.27;"Military";"Grades";0.276863823;0.276863823;55;0.276863823;0.276863823;0.019230769;0.0192307692307692
"Valentine";"Valentine";"";"";"";"";1977;63;0.13;"Military";"Grades";0.13073985;0.13073985;63;0.13073985;0.13073985;0.016666667;0.0166666666666667
"Valentine";"Valentine";"";"";"";"";1977;66;-0.05;"Military";"Grades";-0.050041729;-0.050041729;66;-0.050041729;-0.050041729;0.015873016;0.0158730158730159
"Valentine";"Valentine";"";"";"";"";1977;68;0.45;"Military";"Grades";0.484700279;0.484700279;68;0.484700279;0.484700279;0.015384615;0.0153846153846154
"Valentine";"Valentine";"";"";"";"";1977;69;0.18;"Military";"Grades";0.181982689;0.181982689;69;0.181982689;0.181982689;0.015151515;0.0151515151515152
"Valentine";"Valentine";"";"";"";"";1977;75;0.19;"Military";"Grades";0.192337169;0.192337169;75;0.192337169;0.192337169;0.013888889;0.0138888888888889
"Valentine";"Valentine";"";"";"";"";1977;100;0.24;"Military";"Grades";0.244774113;0.244774113;100;0.244774113;0.244774113;0.010309278;0.0103092783505155
"Valentine";"Valentine";"";"";"";"";1977;136;0.02;"Military";"Grades";0.020002667;0.020002667;136;0.02;0.02;0.007518797;0.0075187969924812
"Valentine";"Valentine";"";"";"";"";1977;154;0.18;"Military";"Grades";0.181982689;0.181982689;154;0.181982689;0.181982689;0.006622517;0.00662251655629139
"Valentine";"Valentine";"";"";"";"";1977;160;-0.02;"Military";"Grades";-0.020002667;-0.020002667;160;-0.020002667;-0.020002667;0.006369427;0.00636942675159236
"Valentine";"Valentine";"";"";"";"";1977;162;0.08;"Military";"Grades";0.080171325;0.080171325;162;0.080171325;0.080171325;0.006289308;0.00628930817610063
"Valentine";"Valentine";"";"";"";"";1977;180;0.26;"Military";"Grades";0.266108407;0.266108407;180;0.266108407;0.266108407;0.005649718;0.00564971751412429
"Valentine";"Valentine";"";"";"";"";1977;181;0.3;"Military";"Grades";0.309519604;0.309519604;181;0.31;0.31;0.005617978;0.00561797752808989
"Valentine";"Valentine";"";"";"";"";1977;188;0.12;"Military";"Grades";0.120581028;0.120581028;188;0.120581028;0.120581028;0.005405405;0.00540540540540541
"Valentine";"Valentine";"";"";"";"";1977;195;0.16;"Military";"Grades";0.161386696;0.161386696;195;0.161386696;0.161386696;0.005208333;0.00520833333333333
"Valentine";"Valentine";"";"";"";"";1977;230;0.24;"Military";"Grades";0.244774113;0.244774113;230;0.244774113;0.244774113;0.004405286;0.00440528634361234
"Valentine";"Valentine";"";"";"";"";1977;244;0.21;"Military";"Grades";0.213171347;0.213171347;244;0.213171347;0.213171347;0.004149378;0.004149377593361
"Valentine";"Valentine";"";"";"";"";1977;256;0.32;"Military";"Grades";0.331647109;0.331647109;256;0.331647109;0.331647109;0.003952569;0.00395256916996047
"Valentine";"Valentine";"";"";"";"";1977;265;0.05;"Military";"Grades";0.050041729;0.050041729;265;0.050041729;0.050041729;0.003816794;0.00381679389312977
"Valentine";"Valentine";"";"";"";"";1977;297;0.24;"Military";"Grades";0.244774113;0.244774113;297;0.244774113;0.244774113;0.003401361;0.00340136054421769
"Valentine";"Valentine";"";"";"";"";1977;360;0.13;"Military";"Grades";0.13073985;0.13073985;360;0.13073985;0.13073985;0.00280112;0.00280112044817927
"Valentine";"Valentine";"";"";"";"";1977;363;0.18;"Military";"Grades";0.181982689;0.181982689;363;0.181982689;0.181982689;0.002777778;0.00277777777777778
"Valentine";"Valentine";"";"";"";"";1977;400;0.1;"Military";"Grades";0.100335348;0.100335348;400;0.100335348;0.100335348;0.002518892;0.00251889168765743
"Valentine";"Valentine";"";"";"";"";1977;404;0.21;"Military";"Grades";0.213171347;0.213171347;404;0.213171347;0.213171347;0.002493766;0.00249376558603491
"Valentine";"Valentine";"";"";"";"";1977;470;0.24;"Military";"Grades";0.244774113;0.244774113;470;0.244774113;0.244774113;0.002141328;0.00214132762312634
"Valentine";"Valentine";"";"";"";"";1977;587;0.11;"Military";"Grades";0.110446916;0.110446916;587;0.110446916;0.110446916;0.001712329;0.00171232876712329
"Valentine";"Valentine";"";"";"";"";1977;1041;0.19;"Military";"Grades";0.192337169;0.192337169;1041;0.192337169;0.192337169;0.000963391;0.000963391136801541
"Valentine";"Valentine";"";"";"";"";1977;1073;0.14;"Military";"Grades";0.140925576;0.140925576;1073;0.141;0.141;0.000934579;0.000934579439252336
"Valentine";"Valentine";"";"";"";"";1977;1078;0.2;"Military";"Grades";0.202732554;0.202732554;1078;0.202732554;0.202732554;0.000930233;0.000930232558139535
"Valentine";"Valentine";"";"";"";"";1977;1222;0.13;"Military";"Grades";0.13073985;0.13073985;1222;0.13073985;0.13073985;0.000820345;0.000820344544708778
"Wightman";"Wightman";"";"";"";"";2000;64;0.31;"Educ";"Grades";0.320545409;0.320545409;64;0.320545409;0.320545409;0.016393443;0.0163934426229508
"Wightman";"Wightman";"";"";"";"";2000;89;0.15;"Educ";"Grades";0.151140436;0.151140436;89;0.151140436;0.151140436;0.011627907;0.0116279069767442
"Wightman";"Wightman";"";"";"";"";2000;231;0.22;"Educ";"Grades";0.223656109;0.223656109;231;0.224;0.224;0.004385965;0.0043859649122807
"Wightman";"Wightman";"";"";"";"";2000;237;0.32;"Educ";"Grades";0.331647109;0.331647109;237;0.331647109;0.331647109;0.004273504;0.00427350427350427
"Wightman";"Wightman";"";"";"";"";2000;325;0.28;"Educ";"Grades";0.287682072;0.287682072;325;0.287682072;0.287682072;0.00310559;0.0031055900621118
"Wightman";"Wightman";"";"";"";"";2000;400;0.19;"Educ";"Grades";0.192337169;0.192337169;400;0.192;0.192;0.002518892;0.00251889168765743
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;30;0.17;"Educ";"Grades";0.171666664;0.171666664;30;0.171666664;0.171666664;0.037037037;0.037037037037037
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;31;0.5;"Educ";"Grades";0.549306144;0.549306144;31;0.549306144;0.549306144;0.035714286;0.0357142857142857
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;32;0.58;"Educ";"Grades";0.662462707;0.662462707;32;0.662462707;0.662462707;0.034482759;0.0344827586206897
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;32;0.71;"Educ";"Grades";0.887183863;0.887183863;32;0.887183863;0.887183863;0.034482759;0.0344827586206897
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;33;0.57;"Educ";"Grades";0.647522845;0.647522845;33;0.647522845;0.647522845;0.033333333;0.0333333333333333
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;34;0.23;"Educ";"Grades";0.234189467;0.234189467;34;0.234189467;0.234189467;0.032258065;0.032258064516129
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;35;0.1;"Educ";"Grades";0.100335348;0.100335348;35;0.100335348;0.100335348;0.03125;0.03125
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;35;0.43;"Educ";"Grades";0.459896681;0.459896681;35;0.459896681;0.459896681;0.03125;0.03125
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;36;0.12;"Educ";"Grades";0.120581028;0.120581028;36;0.120581028;0.120581028;0.03030303;0.0303030303030303
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;36;0.2;"Educ";"Grades";0.202732554;0.202732554;36;0.202732554;0.202732554;0.03030303;0.0303030303030303
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;37;-0.07;"Educ";"Grades";-0.070114671;-0.070114671;37;-0.070114671;-0.070114671;0.029411765;0.0294117647058824
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;38;0.32;"Educ";"Grades";0.331647109;0.331647109;38;0.332;0.332;0.028571429;0.0285714285714286
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;38;0.32;"Educ";"Grades";0.331647109;0.331647109;38;0.331647109;0.331647109;0.028571429;0.0285714285714286
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;38;0.56;"Educ";"Grades";0.632833187;0.632833187;38;0.632833187;0.632833187;0.028571429;0.0285714285714286
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;38;0.65;"Educ";"Grades";0.775298706;0.775298706;38;0.775298706;0.775298706;0.028571429;0.0285714285714286
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;39;0.18;"Educ";"Grades";0.181982689;0.181982689;39;0.182;0.182;0.027777778;0.0277777777777778
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;39;0.47;"Educ";"Grades";0.510070337;0.510070337;39;0.510070337;0.510070337;0.027777778;0.0277777777777778
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;40;0.06;"Educ";"Grades";0.060072156;0.060072156;40;0.060072156;0.060072156;0.027027027;0.027027027027027
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;40;0.38;"Educ";"Grades";0.40005965;0.40005965;40;0.40005965;0.40005965;0.027027027;0.027027027027027
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;41;0.27;"Educ";"Grades";0.276863823;0.276863823;41;0.276863823;0.276863823;0.026315789;0.0263157894736842
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;41;0.46;"Educ";"Grades";0.497311288;0.497311288;41;0.497;0.497;0.026315789;0.0263157894736842
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;41;0.51;"Educ";"Grades";0.562729769;0.562729769;41;0.563;0.563;0.026315789;0.0263157894736842
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;42;0.33;"Educ";"Grades";0.342828254;0.342828254;42;0.342828254;0.342828254;0.025641026;0.0256410256410256
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;42;0.35;"Educ";"Grades";0.365443754;0.365443754;42;0.365443754;0.365443754;0.025641026;0.0256410256410256
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;43;0.15;"Educ";"Grades";0.151140436;0.151140436;43;0.151140436;0.151140436;0.025;0.025
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;43;0.25;"Educ";"Grades";0.255412812;0.255412812;43;0.255;0.255;0.025;0.025
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;45;0.35;"Educ";"Grades";0.365443754;0.365443754;45;0.365443754;0.365443754;0.023809524;0.0238095238095238
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;46;0.26;"Educ";"Grades";0.266108407;0.266108407;46;0.266108407;0.266108407;0.023255814;0.0232558139534884
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;46;0.3;"Educ";"Grades";0.309519604;0.309519604;46;0.309519604;0.309519604;0.023255814;0.0232558139534884
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;46;0.4;"Educ";"Grades";0.42364893;0.42364893;46;0.42364893;0.42364893;0.023255814;0.0232558139534884
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;47;0.36;"Educ";"Grades";0.376885901;0.376885901;47;0.376885901;0.376885901;0.022727273;0.0227272727272727
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;47;0.52;"Educ";"Grades";0.576339755;0.576339755;47;0.576339755;0.576339755;0.022727273;0.0227272727272727
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;50;0.1;"Educ";"Grades";0.100335348;0.100335348;50;0.100335348;0.100335348;0.021276596;0.0212765957446809
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;51;0.13;"Educ";"Grades";0.13073985;0.13073985;51;0.13073985;0.13073985;0.020833333;0.0208333333333333
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;52;0.29;"Educ";"Grades";0.298566264;0.298566264;52;0.298566264;0.298566264;0.020408163;0.0204081632653061
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;52;0.36;"Educ";"Grades";0.376885901;0.376885901;52;0.376885901;0.376885901;0.020408163;0.0204081632653061
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;53;0.48;"Educ";"Grades";0.522984278;0.522984278;53;0.522984278;0.522984278;0.02;0.02
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;55;0.61;"Educ";"Grades";0.708921359;0.708921359;55;0.709;0.709;0.019230769;0.0192307692307692
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;58;0.3;"Educ";"Grades";0.309519604;0.309519604;58;0.309519604;0.309519604;0.018181818;0.0181818181818182
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;59;0.25;"Educ";"Grades";0.255412812;0.255412812;59;0.255412812;0.255412812;0.017857143;0.0178571428571429
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;60;0.34;"Educ";"Grades";0.354092529;0.354092529;60;0.354092529;0.354092529;0.01754386;0.0175438596491228
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;62;0.07;"Educ";"Grades";0.070114671;0.070114671;62;0.070114671;0.070114671;0.016949153;0.0169491525423729
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;65;0.18;"Educ";"Grades";0.181982689;0.181982689;65;0.181982689;0.181982689;0.016129032;0.0161290322580645
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;69;0.35;"Educ";"Grades";0.365443754;0.365443754;69;0.365443754;0.365443754;0.015151515;0.0151515151515152
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;76;0.43;"Educ";"Grades";0.459896681;0.459896681;76;0.459896681;0.459896681;0.01369863;0.0136986301369863
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;79;0.52;"Educ";"Grades";0.576339755;0.576339755;79;0.576339755;0.576339755;0.013157895;0.0131578947368421
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;97;0.37;"Educ";"Grades";0.3884231;0.3884231;97;0.3884231;0.3884231;0.010638298;0.0106382978723404
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;98;0.27;"Educ";"Grades";0.276863823;0.276863823;98;0.276863823;0.276863823;0.010526316;0.0105263157894737
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;130;0.42;"Educ";"Grades";0.447692024;0.447692024;130;0.448;0.448;0.007874016;0.0078740157480315
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;165;0.12;"Educ";"Grades";0.120581028;0.120581028;165;0.120581028;0.120581028;0.00617284;0.00617283950617284
"Wightman & Muller";"Wightman";"Muller";"";"";"";1990;202;0.29;"Educ";"Grades";0.298566264;0.298566264;202;0.298566264;0.298566264;0.005025126;0.0050251256281407
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;25;0.23;"Military";"Grades";0.234189467;0.234189467;25;0.234189467;0.234189467;0.045454545;0.0454545454545455
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;25;0.33;"Military";"Grades";0.342828254;0.342828254;25;0.342828254;0.342828254;0.045454545;0.0454545454545455
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;26;0.02;"Military";"Grades";0.020002667;0.020002667;26;0.020002667;0.020002667;0.043478261;0.0434782608695652
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;27;0.06;"Military";"Grades";0.060072156;0.060072156;27;0.06;0.06;0.041666667;0.0416666666666667
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;27;0.15;"Military";"Grades";0.151140436;0.151140436;27;0.151140436;0.151140436;0.041666667;0.0416666666666667
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;27;0.5;"Military";"Grades";0.549306144;0.549306144;27;0.549;0.549;0.041666667;0.0416666666666667
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;28;0.13;"Military";"Grades";0.13073985;0.13073985;28;0.13073985;0.13073985;0.04;0.04
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;28;0.26;"Military";"Grades";0.266108407;0.266108407;28;0.266108407;0.266108407;0.04;0.04
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;30;0.72;"Military";"Grades";0.907644983;0.907644983;30;0.907644983;0.907644983;0.037037037;0.037037037037037
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;31;0.47;"Military";"Grades";0.510070337;0.510070337;31;0.51;0.51;0.035714286;0.0357142857142857
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;36;0.31;"Military";"Grades";0.320545409;0.320545409;36;0.320545409;0.320545409;0.03030303;0.0303030303030303
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;36;0.59;"Military";"Grades";0.677666068;0.677666068;36;0.677666068;0.677666068;0.03030303;0.0303030303030303
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;37;0.5;"Military";"Grades";0.549306144;0.549306144;37;0.549306144;0.549306144;0.029411765;0.0294117647058824
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;39;0.22;"Military";"Grades";0.223656109;0.223656109;39;0.223656109;0.223656109;0.027777778;0.0277777777777778
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;47;0.13;"Military";"Grades";0.13073985;0.13073985;47;0.13073985;0.13073985;0.022727273;0.0227272727272727
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;49;0.16;"Military";"Grades";0.161386696;0.161386696;49;0.161386696;0.161386696;0.02173913;0.0217391304347826
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;53;0.47;"Military";"Grades";0.510070337;0.510070337;53;0.510070337;0.510070337;0.02;0.02
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;60;0.03;"Military";"Grades";0.030009005;0.030009005;60;0.030009005;0.030009005;0.01754386;0.0175438596491228
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;66;0.04;"Military";"Grades";0.040021354;0.040021354;66;0.040021354;0.040021354;0.015873016;0.0158730158730159
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;69;0.19;"Military";"Grades";0.192337169;0.192337169;69;0.192337169;0.192337169;0.015151515;0.0151515151515152
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;81;0.23;"Military";"Grades";0.234189467;0.234189467;81;0.234189467;0.234189467;0.012820513;0.0128205128205128
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;85;0.41;"Military";"Grades";0.435611223;0.435611223;85;0.436;0.436;0.012195122;0.0121951219512195
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;106;0.17;"Military";"Grades";0.171666664;0.171666664;106;0.171666664;0.171666664;0.009708738;0.00970873786407767
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;117;0.37;"Military";"Grades";0.3884231;0.3884231;117;0.3884231;0.3884231;0.00877193;0.0087719298245614
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;120;0.16;"Military";"Grades";0.161386696;0.161386696;120;0.161386696;0.161386696;0.008547009;0.00854700854700855
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;126;0.38;"Military";"Grades";0.40005965;0.40005965;126;0.40005965;0.40005965;0.008130081;0.00813008130081301
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;129;0.35;"Military";"Grades";0.365443754;0.365443754;129;0.365443754;0.365443754;0.007936508;0.00793650793650794
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;155;0.33;"Military";"Grades";0.342828254;0.342828254;155;0.342828254;0.342828254;0.006578947;0.00657894736842105
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;174;0.38;"Military";"Grades";0.40005965;0.40005965;174;0.40005965;0.40005965;0.005847953;0.00584795321637427
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;207;0.41;"Military";"Grades";0.435611223;0.435611223;207;0.435611223;0.435611223;0.004901961;0.00490196078431373
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;250;0.27;"Military";"Grades";0.276863823;0.276863823;250;0.276863823;0.276863823;0.004048583;0.00404858299595142
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;400;0.31;"Military";"Grades";0.320545409;0.320545409;400;0.320545409;0.320545409;0.002518892;0.00251889168765743
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;630;0.21;"Military";"Grades";0.213171347;0.213171347;630;0.213171347;0.213171347;0.001594896;0.00159489633173844
"Wilbourn et al.";"Wilbourn";"Valentine";"Ree";"";"";1984;772;0.29;"Military";"Grades";0.298566264;0.298566264;772;0.298566264;0.298566264;0.00130039;0.00130039011703511
"Young 1994";"Young";"Kobrin";"";"";"";1994;211;0.16;"Educ";"Grades";0.161386696;0.161386696;211;0.161386696;0.161386696;0.004807692;0.00480769230769231
